Artist,Prince
Album,Diamonds and Pearls
Track #,Title,Duration
1,Thunder,5:45
2,Daddy Pop,5:17
3,Diamonds and Pearls,4:45
4,Cream,4:13
5,Strollin’,3:47
6,Willing and Able,5:00
7,Gett Off,4:31
8,Walk Don’t Walk,3:07
9,Jughead,4:57
10,Money Don’t Matter 2 Night,4:46
11,Push,5:53
12,Insatiable,6:39
13,Live 4 Love,6:59

Artist,The Cure
Album,The Crow: Original Motion Picture Soundtrack
Track #,Title,Duration
1,Burn,6:38
2,Golgotha Tenement Blues,4:00
3,Big Empty,4:53
4,Dead Souls,4:53
5,Darkness,3:42
6,Color Me Once,4:11
7,Ghostrider,5:45
8,Milktoast,3:58
9,The Badge,3:54
10,Slip Slide Melting,5:47
11,After the Flesh,2:59
12,Snakedriver,3:42
13,Time Baby III,3:51
14,It Can't Rain All the Time,5:36

Artist,The Tear Garden
Album,The Last Man to Fly
Track #,Title,Duration
1,Hyperform,5:13
2,The Running Man,8:22
3,"Turn Me On, Dead Man",6:37
4,Romulus and Venus,6:08
5,The Great Lie,4:49
6,Empathy With the Devil,7:52
7,Circles in the Sand,3:27
8,Love Notes & Carnations,5:19
9,A Ship Named 'Despair',3:40
10,White Coats & Haloes,2:19
11,Isis Veiled,3:23
12,Last Post,8:58
13,3-D Technicolour Scrambled Egg Trip Down the Hell-Hole (with Canary),7:10

Artist,Suicidal Tendencies
Album,Playlist: The Very Best of Suicidal Tendencies
Track #,Title,Duration
1,Trip at the Brain,4:31
2,How Will I Laugh Tomorrow,6:42
3,One Too Many Times,3:12
4,Controlled by Hatred,5:38
5,You Can't Bring Me Down,5:48
6,Alone,4:24
7,Get Whacked,4:23
8,Send Me Your Money,3:22
9,"Disco's Out, Murder's In",3:06
10,Nobody Hears,5:32
11,I Wasn't Meant to Feel This / Asleep at the Wheel,7:06
12,War Inside My Head,3:28
13,Waking the Dead,6:54
14,Institutionalized,3:28

Artist,Empty Slot 05
Album,No Album
Track #,Title,Duration

Artist,Empty Slot 06
Album,No Album
Track #,Title,Duration

Artist,"""The Professor"" Nick Harrison, ""The Professor"" Nick Harrison, ""The Professor ""Nick Harrison"
Album,Art Official Soul
Track #,Title,Duration
1,18 and Life,3:43
2,3 AM,3:52
3,Bad Medicine,4:46
4,Don't Stop Believin',4:45
5,Dragula,3:59
6,Higher,4:51
7,How You Remind Me,4:49
8,Say It Ain't So,4:04
9,Welcome to the Black Parade,4:57
10,Would?,3:29
11,Zombie,3:30

Artist,"""The Professor"" Nick Harrison"
Album,"Art Official Soul, Vol. 2"
Track #,Title,Duration
1,B.Y.O.B. (AI Soul Cover),4:50
2,Before I Forget,4:44
3,Bulls On Parade (AI Soul Cover),3:21
4,Down With The Sickness (AI Soul Cover),4:26
5,Drive,4:02
6,Freak on a Leash (AI Soul Cover),4:03
7,Glycerine,4:16
8,Heart Shaped Box,5:05
9,Interstate Love Song (AI Soul Cover),3:08
10,Never Let You Go,3:29
11,Nookie,3:40
12,Sweet Child 'O Mine,5:34

Artist,“The Professor” Nick Harrison
Album,Art Official Soul Volume III
Track #,Title,Duration
1,Champagne Supernova (AI Soul Cover),5:11
2,Cold (AI Soul Cover),3:18
3,Fancy,4:24
4,Fix You,3:41
5,Iris (AI Soul Cover),3:54
6,King Nothing (AI Soul Cover),4:13
7,Last Resort (AI Soul Cover),3:44
8,Learn To Fly (AI Soul Cover,3:37
9,Lightning Crashes (AI Soul Cover),4:44
10,Sober (AI Soul Cover),4:23
11,The Beautiful People (AI Soul Cover),3:23
12,Tomorrow (AI Soul Cover,4:14

Artist,Camper Van Beethoven
Album,Telephone Free Landslide Victory
Track #,Title,Duration
1,The Day That Lassie Went to the Moon,3:14
2,Border Ska,2:56
3,Wasted,1:55
4,Yanqui Go Home,2:41
5,Oh No!,1:54
6,Nine of Disks,2:36
7,Payed Vacation: Greece,1:52
8,Where the Hell Is Bill?,2:05
9,Wasting All Your Time,2:59
10,Epigram #5,0:09
11,At Kuda,2:14
12,Epigram #2,0:21

Artist,Camper Van Beethoven
Album,Telephone Free Landslide Victory
Track #,Title,Duration
1,Cowboys From Hollywood (original version),1:41
2,Colonel Enrique Adolfo Bermudez,2:09
3,Vladivostok,2:22
4,Skinhead Stomp,1:47
5,Tina,1:38
6,Take the Skinheads Bowling,2:32
7,Mao Reminisces About His Days in Southern China,2:00
8,I Don’t See You,2:23
9,Balalaika Gap,2:13
10,Opi Rides Again,0:50
11,Club Med Sucks,3:05
12,Ambiguity Song,6:23

Artist,The Smashing Pumpkins
Album,Mellon Collie and the Infinite Sadness
Track #,Title,Duration
1,Mellon Collie and the Infinite Sadness,2:52
2,"Tonight, Tonight",4:14
3,Jellybelly,3:01
4,Zero,2:40
5,Here Is No Why,3:45
6,Bullet With Butterfly Wings,4:18
7,To Forgive,4:17
8,An Ode to No One,4:51
9,Love,4:22
10,Cupid de Locke,2:50
11,Galapogos,4:46
12,Muzzle,3:43
13,Porcelina of the Vast Oceans,9:21
14,Take Me Down,2:54

Artist,The Smashing Pumpkins
Album,Mellon Collie and the Infinite Sadness
Track #,Title,Duration
1,Where Boys Fear to Tread,4:23
2,Bodies,4:12
3,Thirty‐Three,4:10
4,In the Arms of Sleep,4:12
5,1979,4:26
6,Tales of a Scorched Earth,3:45
7,Thru the Eyes of Ruby,7:38
8,Stumbleine,2:54
9,X.Y.U.,7:07
10,We Only Come Out at Night,4:05
11,Beautiful,4:18
12,Lily (My One and Only),3:31
13,By Starlight,4:48
14,Farewell and Goodnight,4:24

Artist,NOFX
Album,Punk in Drublic
Track #,Title,Duration
1,Linoleum,2:10
2,Leave It Alone,2:04
3,Dig,2:16
4,The Cause,1:37
5,Don’t Call Me White,2:33
6,My Heart Is Yearning,2:23
7,Perfect Government,2:06
8,The Brews,2:40
9,The Quass,1:18
10,Dying Degree,1:50
11,Fleas,1:48
12,Lori Meyers,2:21
13,Jeff Wears Birkenstocks,1:26
14,Punk Guy,1:08
15,Happy Guy,1:58
16,Reeko,3:05
17,Scavenger Type,7:12

Artist,Nine Inch Nails
Album,Pretty Hate Machine
Track #,Title,Duration
1,Head Like a Hole,5:00
2,Terrible Lie,4:38
3,Down in It,3:46
4,Sanctified,5:47
5,Something I Can Never Have,5:55
6,Kinda I Want To,4:33
7,Sin,4:06
8,That’s What I Get,4:30
9,The Only Time,4:47
10,Ringfinger,5:45
11,Get Down Make Love,4:18

Artist,Nouvelle Vague
Album,Best Of
Track #,Title,Duration
1,I Melt With You,4:03
2,Just Can't Get Enough,3:09
3,Ever Fallen in Love,3:22
4,Master and Servant,3:20
5,Love Will Tear Us Apart,3:19
6,Heaven,4:07
7,Guns of Brixton,4:08
8,Teenage Kicks,2:11
9,All My Colours,3:56
10,Making Plans for Nigel,3:33
11,Blue Monday,3:05
12,Dancing With Myself,3:12
13,In a Manner of Speaking,3:58
14,Our Lips Are Sealed,3:29

Artist,Operation Ivy
Album,Operation Ivy (2007 Remaster)
Track #,Title,Duration
1,Knowledge (2007 Remaster),1:42
2,Sound System (2007 Remaster),2:14
3,Jaded (2007 Remaster),1:51
4,Take Warning (2007 Remaster),2:44
5,The Crowd (2007 Remaster),2:11
6,Bombshell (2007 Remaster),1:03
7,Unity (2007 Remaster),2:13
8,Vulnerability (2007 Remaster),2:00
9,Bankshot (2007 Remaster),1:33
10,One of These Days (2007 Remaster),1:07
11,Gonna Find You (2007 Remaster),1:54
12,Bad Town (2007 Remaster),2:35

Artist,Operation Ivy
